ChickID,Nest,hatch_spread,first_sur,Treatment_Type,Dom_sub
AD3,AD,3,0,control,Dom
AD6,AD,3,0,control,Sub
AG3,AG,5,0,control,Dom
AG5,AG,5,0,control,Dom
AG6,AG,5,0,control,Dom
AO3,AO,3,0,control,Dom
AO4,AO,3,0,control,Dom
AO5,AO,3,0,control,Sub
AZ2,AZ,5,0,control,Dom
AZ4,AZ,5,0,control,Dom
AZ6,AZ,5,0,control,Dom
AZ7,AZ,5,0,control,Sub
BD2,BD,4,0,control,Dom
BD4,BD,4,0,control,Dom
BD5,BD,4,0,control,Dom
BD6,BD,4,0,control,Sub
E2,E,4,0,control,Dom
E4,E,4,0,control,Dom
E6,E,4,0,control,Dom
E7,E,4,0,control,Dom
L3,L,4,0,control,Dom
L5,L,4,0,control,Dom
N2,N,5,0,control,Dom
N4,N,5,0,control,Dom
N5,N,5,0,control,Sub
N6,N,5,0,control,Sub
V3,V,4,0,control,Dom
V5,V,4,0,control,Dom
V6,V,4,0,control,Dom
V7,V,4,0,control,Dom
AA1,AA,12,0,experimental,Dom
AA2,AA,12,0,experimental,Dom
AA3,AA,12,0,experimental,Dom
AA4,AA,12,0,experimental,Dom
AC2,AC,12,0,experimental,Dom
AC3,AC,12,0,experimental,Dom
AC4,AC,12,0,experimental,Dom
AC5,AC,12,0,experimental,Dom
AR1,AR,12,0,experimental,Dom
AR2,AR,12,0,experimental,Dom
AR3,AR,12,0,experimental,Dom
AR4,AR,12,0,experimental,Dom
AR5,AR,12,0,experimental,Dom
AV2,AV,10,0,experimental,Dom
AX1,AX,8,0,experimental,Dom
AX3,AX,8,0,experimental,Dom
AX4,AX,8,0,experimental,Dom
BB1,BB,9,0,experimental,Dom
BB3,BB,9,0,experimental,Dom
BB4,BB,9,0,experimental,Dom
BB6,BB,9,0,experimental,Dom
G1,G,10,0,experimental,Dom
G2,G,10,0,experimental,Dom
G4,G,10,0,experimental,Dom
G6,G,10,0,experimental,Dom
S2,S,10,0,experimental,Dom
S3,S,10,0,experimental,Dom
U1,U,11,0,experimental,Dom
U2,U,11,0,experimental,Dom
U3,U,11,0,experimental,Dom
U4,U,11,0,experimental,Dom
U5,U,11,0,experimental,Dom
AD1,AD,3,1,control,Dom
AD2,AD,3,1,control,Dom
AD4,AD,3,1,control,Dom
AD5,AD,3,1,control,Sub
AG1,AG,5,1,control,Dom
AG2,AG,5,1,control,Dom
AG4,AG,5,1,control,Sub
AO1,AO,3,1,control,Dom
AO2,AO,3,1,control,Dom
AZ1,AZ,5,1,control,Dom
AZ3,AZ,5,1,control,Dom
AZ5,AZ,5,1,control,Sub
BD1,BD,4,1,control,Dom
BD3,BD,4,1,control,Sub
E1,E,4,1,control,Dom
E3,E,4,1,control,Sub
E5,E,4,1,control,Sub
L1,L,4,1,control,Dom
L2,L,4,1,control,Dom
L4,L,4,1,control,Sub
N1,N,5,1,control,Dom
N3,N,5,1,control,Dom
V1,V,4,1,control,Dom
V2,V,4,1,control,Dom
V4,V,4,1,control,Sub
AC1,AC,12,1,experimental,Dom
AV1,AV,10,1,experimental,Dom
AX2,AX,8,1,experimental,Dom
AX5,AX,8,1,experimental,Dom
BB2,BB,9,1,experimental,Dom
BB5,BB,9,1,experimental,Dom
C1,C,10,1,experimental,Dom
C2,C,10,1,experimental,Dom
G3,G,10,1,experimental,Dom
G5,G,10,1,experimental,Dom
S1,S,10,1,experimental,Dom
