ChickID,Nest,Treatment,Hatch_spread,Hatched,Total_clutch,Dom_sub
1,V,Control,4,1,10,D
2,V,Control,4,1,10,D
3,V,Control,4,1,10,D
4,V,Control,4,1,10,D
5,V,Control,4,1,10,D
6,V,Control,4,1,10,D
7,V,Control,4,1,10,S
8,V,Control,4,0,10,S
9,V,Control,4,0,10,S
10,V,Control,4,0,10,S
11,E,Control,4,1,7,D
12,E,Control,4,1,7,D
13,E,Control,4,1,7,D
14,E,Control,4,1,7,D
15,E,Control,4,1,7,D
16,E,Control,4,1,7,S
17,E,Control,4,1,7,S
18,AO,Control,3,1,9,D
19,AO,Control,3,1,9,D
20,AO,Control,3,1,9,D
21,AO,Control,3,1,9,D
22,AO,Control,3,1,9,S
23,AO,Control,3,0,9,D
24,AO,Control,3,0,9,S
25,AO,Control,3,0,9,S
26,AO,Control,3,0,9,S
27,AG,Control,5,1,7,D
28,AG,Control,5,1,7,D
29,AG,Control,5,1,7,D
30,AG,Control,5,1,7,D
31,AG,Control,5,1,7,D
32,AG,Control,5,1,7,S
33,AG,Control,5,0,7,S
34,AZ,Control,5,1,8,D
35,AZ,Control,5,1,8,D
36,AZ,Control,5,1,8,D
37,AZ,Control,5,1,8,D
38,AZ,Control,5,1,8,D
39,AZ,Control,5,1,8,S
40,AZ,Control,5,1,8,S
41,AZ,Control,5,0,8,S
42,AD,Control,3,1,6,D
43,AD,Control,3,1,6,D
44,AD,Control,3,1,6,D
45,AD,Control,3,1,6,D
46,AD,Control,3,1,6,S
47,AD,Control,3,1,6,S
48,N,Control,5,1,7,D
49,N,Control,5,1,7,D
50,N,Control,5,1,7,D
51,N,Control,5,1,7,D
52,N,Control,5,1,7,S
53,N,Control,5,1,7,S
54,N,Control,5,0,7,D
55,BD,Control,4,1,7,D
56,BD,Control,4,1,7,D
57,BD,Control,4,1,7,D
58,BD,Control,4,1,7,D
59,BD,Control,4,1,7,S
60,BD,Control,4,0,7,S
61,BD,Control,4,0,7,S
62,L,Control,4,1,6,D
63,L,Control,4,1,6,D
64,L,Control,4,1,6,D
65,L,Control,4,1,6,D
66,L,Control,4,1,6,S
67,L,Control,4,0,6,S
68,C,Experimental,10,1,7,D
69,C,Experimental,10,1,7,D
70,C,Experimental,10,0,7,D
71,C,Experimental,10,0,7,D
72,C,Experimental,10,0,7,D
73,C,Experimental,10,0,7,D
74,C,Experimental,10,0,7,D
75,G,Experimental,14,1,8,D
76,G,Experimental,14,1,8,D
77,G,Experimental,14,1,8,D
78,G,Experimental,14,1,8,D
79,G,Experimental,14,1,8,D
80,G,Experimental,14,1,8,D
81,G,Experimental,14,0,8,D
82,G,Experimental,14,0,8,D
83,U,Experimental,9,1,10,D
84,U,Experimental,9,1,10,D
85,U,Experimental,9,1,10,D
86,U,Experimental,9,1,10,D
87,U,Experimental,9,1,10,D
88,U,Experimental,9,0,10,D
89,U,Experimental,9,0,10,D
90,U,Experimental,9,0,10,D
91,U,Experimental,9,0,10,D
92,U,Experimental,9,0,10,D
93,S,Experimental,12,1,8,D
94,S,Experimental,12,1,8,D
95,S,Experimental,12,1,8,D
96,S,Experimental,12,0,8,D
97,S,Experimental,12,0,8,D
98,S,Experimental,12,0,8,D
99,S,Experimental,12,0,8,D
100,S,Experimental,12,0,8,D
101,AA,Experimental,12,1,9,D
102,AA,Experimental,12,1,9,D
103,AA,Experimental,12,1,9,D
104,AA,Experimental,12,1,9,D
105,AA,Experimental,12,0,9,D
106,AA,Experimental,12,0,9,D
107,AA,Experimental,12,0,9,D
108,AA,Experimental,12,0,9,D
109,AA,Experimental,12,0,9,D
110,AX,Experimental,8,1,7,D
111,AX,Experimental,8,1,7,D
112,AX,Experimental,8,1,7,D
113,AX,Experimental,8,1,7,D
114,AX,Experimental,8,1,7,D
115,AX,Experimental,8,0,7,D
116,AX,Experimental,8,0,7,D
117,AR,Experimental,10,1,11,D
118,AR,Experimental,10,1,11,D
119,AR,Experimental,10,1,11,D
120,AR,Experimental,10,1,11,D
121,AR,Experimental,10,1,11,D
122,AR,Experimental,10,0,11,D
123,AR,Experimental,10,0,11,D
124,AR,Experimental,10,0,11,D
125,AR,Experimental,10,0,11,D
126,AR,Experimental,10,0,11,D
127,AR,Experimental,10,0,11,D
128,AC,Experimental,12,1,6,D
129,AC,Experimental,12,1,6,D
130,AC,Experimental,12,1,6,D
131,AC,Experimental,12,1,6,D
132,AC,Experimental,12,1,6,D
133,AC,Experimental,12,0,6,D
134,BB,Experimental,9,1,7,D
135,BB,Experimental,9,1,7,D
136,BB,Experimental,9,1,7,D
137,BB,Experimental,9,1,7,D
138,BB,Experimental,9,1,7,D
139,BB,Experimental,9,1,7,D
140,BB,Experimental,9,0,7,D
141,AV,Experimental,15,1,6,D
142,AV,Experimental,15,1,6,D
143,AV,Experimental,15,0,6,D
144,AV,Experimental,15,0,6,D
145,AV,Experimental,15,0,6,D
146,AV,Experimental,15,0,6,D
